,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
384,20MICRONS,EQ,30.7,30.7,28.1,28.9,28.95,28.45,13674,402566.2,05-04-2016,127,INE144J01027
385,20MICRONS,EQ,29.8,29.8,28,28.45,28.25,28.85,4490,127786.6,18-03-2016,79,INE144J01027
386,20MICRONS,EQ,35.95,36.5,35.7,35.75,35.75,35.55,83594,3004382.6,06-01-2016,307,INE144J01027
387,20MICRONS,EQ,37.1,37.65,30,33.5,33,36.2,216155,7222293,13-01-2016,1314,INE144J01027
388,20MICRONS,EQ,27.6,27.6,26.2,26.75,26.65,26.85,28534,764195.95,10-03-2016,137,INE144J01027
389,20MICRONS,EQ,34.95,36,33.5,34.2,34.85,35,82109,2893153.95,18-04-2016,605,INE144J01027
390,20MICRONS,EQ,38.85,39.3,37.75,38.15,38.3,38.3,190339,7325288.75,26-09-2016,760,INE144J01027
391,20MICRONS,EQ,35.5,36.6,34.3,36.3,36,34.8,64108,2297194.8,08-12-2016,331,INE144J01027
392,20MICRONS,EQ,36.45,36.75,36.05,36.4,36.35,36.5,76319,2773395.1,07-10-2016,184,INE144J01027
393,20MICRONS,EQ,27,27.25,26.25,26.65,26.7,26.55,33881,902992.7,18-02-2016,198,INE144J01027
394,20MICRONS,EQ,35,35.1,33.95,34.55,34.75,34,49820,1717801.3,18-11-2016,337,INE144J01027
395,20MICRONS,EQ,28.1,29,28.1,28.95,28.6,28.55,18470,533356.75,25-07-2016,133,INE144J01027
396,20MICRONS,EQ,38.8,39.05,38.2,38.3,38.45,38.15,46735,1807427.35,27-09-2016,284,INE144J01027
397,20MICRONS,EQ,36.5,39.3,35.8,36.2,36.25,36.55,235040,8856977.65,12-01-2016,1069,INE144J01027
398,20MICRONS,EQ,35.9,35.9,33.05,34.1,34.25,35.75,53613,1856282.15,07-01-2016,354,INE144J01027
399,20MICRONS,EQ,27.55,27.8,27,27.25,27.35,27.3,20477,560941.25,04-03-2016,157,INE144J01027
400,20MICRONS,EQ,27.25,27.25,26.2,26.45,26.5,26.75,15277,408478,11-03-2016,125,INE144J01027
401,20MICRONS,EQ,26.8,27.75,26.5,26.9,27,26.65,14514,392708.25,19-02-2016,134,INE144J01027
402,20MICRONS,EQ,35.7,36,34.6,35.2,35.8,35.7,176642,6217913.7,13-10-2016,264,INE144J01027
403,20MICRONS,EQ,36.75,37.35,36.2,36.5,36.4,36.4,104434,3820938.8,06-10-2016,316,INE144J01027
404,20MICRONS,EQ,36.45,36.95,36.1,36.6,36.75,36.3,55356,2031020.25,09-12-2016,465,INE144J01027
405,20MICRONS,EQ,36.2,36.2,35.2,35.4,35.35,35.7,59332,2109940.3,01-12-2016,182,INE144J01027
406,20MICRONS,EQ,36.3,36.3,33.55,34,34.1,35.7,73395,2539674.65,14-12-2016,402,INE144J01027
407,20MICRONS,EQ,28.65,29.35,26.25,26.55,26.5,27.6,80235,2238337.95,11-02-2016,511,INE144J01027
408,20MICRONS,EQ,26.5,27.7,26.05,26.1,26.05,26.5,11825,315105.05,04-02-2016,148,INE144J01027
409,20MICRONS,EQ,43.3,43.7,39.75,41,41.5,42.55,610389,25574736.75,04-11-2016,3037,INE144J01027
410,20MICRONS,EQ,39.5,40.5,38.6,39.05,39,40.9,175577,6919032.3,11-11-2016,698,INE144J01027
